adm1_code,event_count,mean_flooded_population,mean_flooded_area,mean_flooded_area_norm
690.0,3,3997.541940333334,35.53883558333333,0.16187676833333334
691.0,3,,,
702.0,4,,,
703.0,10,940.7117238,5.490868791,0.070737894
704.0,3,,,
705.0,5,,,
706.0,5,,,
707.0,3,,,
708.0,2,,,
709.0,4,,,
710.0,7,,,
711.0,10,,,
712.0,7,,,
713.0,4,,,
714.0,6,,,
715.0,10,,,
716.0,2,,,
717.0,6,,,
718.0,2,,,
719.0,5,,,
721.0,5,,,
722.0,9,,,
723.0,6,,,
724.0,4,,,
725.0,1,,,
726.0,3,,,
727.0,8,,,
728.0,5,,,
729.0,7,,,
743.0,7,,,
744.0,3,7.0656563985,0.09308311650000001,0.0055976795
745.0,6,55.834238375,1.178120203,0.032544974000000004
746.0,7,4583.421546,38.87869322,1.194482589
747.0,2,,,
748.0,5,3226.4415209999997,10.367869665,0.986596453
749.0,2,923.5856538999999,1.6452620615,0.113432124
750.0,2,,,
751.0,6,,,
752.0,9,32.46015277,0.806829594,0.11644704
753.0,2,8036.426287,45.44667165,2.350417527
754.0,8,,,
755.0,2,,,
756.0,3,20894.66639,70.264055455,3.735722046
757.0,2,,,
758.0,4,240.308873,0.372492317,0.03655038
759.0,2,452.37927625000003,1.831543222,0.2189966015
760.0,6,3884.629699,19.52225008,1.270552323
761.0,10,,,
762.0,2,,,
763.0,8,,,
764.0,3,,,
765.0,6,11.22593053,0.186008468,0.005148946
766.0,7,5.063909053,0.1241268,0.014545907
767.0,5,,,
768.0,2,26.47457879,0.062080909,0.00956155
769.0,6,,,
770.0,4,1464.38879825,17.321851249999998,0.7878347245
771.0,2,58.770924705,1.3338036995,0.033975359
772.0,7,44.895055991,1.3024026815,0.037128248499999995
773.0,7,74.36798731,1.7686919694999998,0.042089303
774.0,2,529.9239714,1.7691931095,0.217249515
775.0,3,123.57977371000001,5.5823093615,0.1120416195
776.0,7,2343.9777655000003,10.4517507395,0.5217770310000001
777.0,2,5041.6711225,24.857751565,3.445459611
778.0,6,,,
779.0,5,6845.993725,65.6434159,4.4194409375
780.0,3,,,
781.0,3,,,
782.0,7,439.48630425,2.450288124,0.1117337345
783.0,8,,,
784.0,2,116.26905354,1.024419306,0.071061664
785.0,14,,,
786.0,5,4241.61946,18.928073765,1.340530113
787.0,4,,,
788.0,8,280.10898375,1.8619394655,0.1774930055
789.0,6,5352.107134,24.262881710000002,2.2569057805
790.0,5,,,
791.0,12,,,
792.0,11,,,
793.0,19,,,
794.0,17,,,
795.0,17,,,
796.0,14,,,
797.0,19,,,
798.0,18,,,
799.0,8,,,
801.0,23,,,
802.0,1,,,
803.0,4,,,
804.0,8,,,
805.0,4,,,
806.0,14,,,
807.0,16,,,
808.0,18,,,
809.0,14,,,
810.0,9,,,
811.0,5,,,
812.0,19,,,
813.0,8,,,
814.0,13,,,
